visited_at,posts_read,mobile,time_read
2019-05-02,11,false,47
2019-05-26,21,false,518
2019-05-28,7,true,23
2019-06-23,1,false,180
2019-07-02,1,false,120
2019-07-03,3,false,11
2019-07-13,14,false,380
2019-08-19,1,true,4
2019-08-20,0,false,0
2020-04-11,8,false,196
2020-04-21,1,false,0
2020-04-23,3,false,165
2020-04-25,2,false,60
2020-04-28,10,false,95
2020-04-29,2,false,82
2020-04-30,4,false,120
2020-05-01,35,false,391
2020-05-05,3,false,428
2020-05-06,30,false,819
2020-05-12,4,false,138
2020-05-20,0,false,61
2020-05-27,0,false,0
2020-05-28,14,false,441
2020-05-29,1,false,11
2020-06-01,0,false,0
2020-06-09,0,false,122
2020-07-05,10,false,48
2020-07-12,0,false,0
2020-07-23,3,false,92
2020-07-29,28,false,113
2020-10-01,0,false,0
2020-10-02,7,false,98
2020-10-08,3,false,60
2020-10-14,10,false,256
2020-10-19,4,false,174
2020-10-20,7,false,123
2020-11-18,14,false,231
2020-12-07,4,false,124
2020-12-08,16,false,678
2020-12-15,0,false,242
2021-01-01,7,false,21
2021-02-05,22,true,134
2021-02-06,0,false,0
2021-02-08,8,true,179
2021-02-16,6,true,171
2021-02-27,7,true,255
2021-03-01,1,false,10
2021-03-08,6,false,152
2021-03-24,0,false,29
2021-03-25,1,true,0
2021-03-26,1,false,0
2021-03-29,4,false,27
2021-04-03,0,false,0
2021-04-04,0,false,0
2021-04-05,0,false,0
2021-04-16,0,false,0
2021-04-20,0,false,0
2021-04-21,0,false,0
2021-04-22,0,false,0
2021-04-25,0,false,59
2021-05-02,0,false,0
2021-05-03,26,false,1062
2021-05-04,13,false,1114
2021-05-05,21,true,449
2021-05-06,43,false,476
2021-05-07,1,false,182
2021-05-08,8,false,626
2021-05-09,0,false,120
2021-05-14,4,true,9
2021-05-15,27,false,117
2021-05-16,1,false,536
2021-05-17,1,false,60
2021-05-22,15,false,207
2021-05-24,15,false,129
2021-05-25,0,false,0
2021-05-27,7,false,172
2021-05-31,0,false,0
2021-06-05,5,false,132
2021-06-09,17,false,502
2021-06-21,15,false,286
2021-06-22,2,false,0
2021-06-25,3,true,61
2021-06-28,9,true,271
2021-06-29,1,false,121
2021-07-01,1,false,0
2021-07-02,1,false,0
2021-07-06,0,false,0
2021-07-08,8,false,108
2021-07-13,0,false,0
2021-07-15,24,false,323
2021-07-16,6,false,11
2021-07-18,0,false,0
2021-07-19,1,false,0
2021-07-20,9,false,252
2021-07-21,0,false,0
2021-07-26,2,false,116
2021-07-27,0,false,0
